dag,tijd,jaar,gem_intensiteit
Saturday,23:00,2019,597.6129032258065
Saturday,23:00,2020,504.2903225806452
Saturday,23:00,2021,613.8387096774194
Saturday,23:00,2022,607.7777777777778
Saturday,23:00,2023,388.8709677419355
Saturday,23:00,2024,522.8709677419355
Sunday,00:00,2019,398.83870967741933
Sunday,00:00,2020,316.16129032258067
Sunday,00:00,2021,488.7741935483871
Sunday,00:00,2022,401.3703703703704
Sunday,00:00,2023,263.61290322580646
Sunday,00:00,2024,355.03225806451616
Sunday,01:00,2019,261.4193548387097
Sunday,01:00,2020,194.8709677419355
Sunday,01:00,2021,285.2903225806452
Sunday,01:00,2022,264.0
Sunday,01:00,2023,168.2258064516129
Sunday,01:00,2024,198.93548387096774
Sunday,02:00,2019,170.2258064516129
Sunday,02:00,2020,107.6774193548387
Sunday,02:00,2021,159.93548387096774
Sunday,02:00,2022,178.92592592592592
Sunday,02:00,2023,101.09677419354838
Sunday,02:00,2024,123.70967741935483
Sunday,03:00,2019,130.58064516129033
Sunday,03:00,2020,67.83870967741936
Sunday,03:00,2021,111.48387096774194
Sunday,03:00,2022,146.07407407407408
Sunday,03:00,2023,85.48387096774194
Sunday,03:00,2024,102.35483870967742
Sunday,04:00,2019,118.70967741935483
Sunday,04:00,2020,54.25806451612903
Sunday,04:00,2021,83.64516129032258
Sunday,04:00,2022,130.11111111111111
Sunday,04:00,2023,74.61290322580645
Sunday,04:00,2024,85.96774193548387
Sunday,05:00,2019,131.4516129032258
Sunday,05:00,2020,73.12903225806451
Sunday,05:00,2021,93.35483870967742
Sunday,05:00,2022,146.1851851851852
Sunday,05:00,2023,81.0
Sunday,05:00,2024,96.61290322580645
Sunday,06:00,2019,178.96774193548387
Sunday,06:00,2020,115.58064516129032
Sunday,06:00,2021,152.8709677419355
Sunday,06:00,2022,184.5185185185185
Sunday,06:00,2023,102.38709677419355
Sunday,06:00,2024,119.96774193548387
Sunday,07:00,2019,220.96774193548387
Sunday,07:00,2020,165.58064516129033
Sunday,07:00,2021,216.41935483870967
Sunday,07:00,2022,234.55555555555554
Sunday,07:00,2023,138.2258064516129
Sunday,07:00,2024,159.32258064516128
Sunday,08:00,2019,356.2903225806452
Sunday,08:00,2020,267.9032258064516
Sunday,08:00,2021,329.9032258064516
Sunday,08:00,2022,288.3333333333333
Sunday,08:00,2023,189.3548387096774
Sunday,08:00,2024,244.06451612903226
Sunday,09:00,2019,612.6451612903226
Sunday,09:00,2020,494.2258064516129
Sunday,09:00,2021,588.516129032258
Sunday,09:00,2022,502.4074074074074
Sunday,09:00,2023,374.61290322580646
Sunday,09:00,2024,423.5806451612903
