id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion,traffic_flow_deviation_exclusions
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 00:00:00,2021-09-20 01:00:00,0.0,0.0,60.0,10.0,0,0,10.0,128.04,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2021-09-20 00:00:00,2021-09-20 01:00:00,0.0,0.0,60.0,53.0,0,0,130.0,116.52,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2021-09-20 00:00:00,2021-09-20 01:00:00,0.0,0.0,60.0,60.0,0,0,359.0,102.49,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 01:00:00,2021-09-20 02:00:00,0.0,0.0,60.0,1.0,0,0,1.0,137.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2021-09-20 01:00:00,2021-09-20 02:00:00,0.0,0.0,60.0,35.0,0,0,50.0,114.01,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2021-09-20 01:00:00,2021-09-20 02:00:00,0.0,0.0,60.0,58.0,0,0,197.0,101.52,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 02:00:00,2021-09-20 03:00:00,0.0,0.0,60.0,2.0,0,0,2.0,128.29,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2021-09-20 02:00:00,2021-09-20 03:00:00,0.0,0.0,60.0,22.0,0,0,30.0,117.7,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2021-09-20 02:00:00,2021-09-20 03:00:00,0.0,0.0,60.0,54.0,0,0,135.0,99.92,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 03:00:00,2021-09-20 04:00:00,0.0,0.0,60.0,0.0,0,0,0.0,-1.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2021-09-20 03:00:00,2021-09-20 04:00:00,0.0,0.0,60.0,13.0,0,0,16.0,112.94,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2021-09-20 03:00:00,2021-09-20 04:00:00,0.0,0.0,60.0,50.0,0,0,107.0,98.85,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 04:00:00,2021-09-20 05:00:00,0.0,0.0,60.0,0.0,0,0,0.0,-1.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2021-09-20 04:00:00,2021-09-20 05:00:00,0.0,0.0,60.0,31.0,0,0,47.0,113.96,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2021-09-20 04:00:00,2021-09-20 05:00:00,0.0,0.0,60.0,58.0,0,0,205.0,97.57,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 05:00:00,2021-09-20 06:00:00,0.0,0.0,60.0,33.0,0,0,66.0,123.97,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2021-09-20 05:00:00,2021-09-20 06:00:00,0.0,0.0,60.0,58.0,0,0,397.0,113.16,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2021-09-20 05:00:00,2021-09-20 06:00:00,0.0,0.0,60.0,60.0,0,0,601.0,98.64,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2021-09-20 06:00:00,2021-09-20 07:00:00,0.0,0.0,60.0,59.0,0,0,639.0,119.73,-1.0,lane1,anyVehicle,,
