id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion,traffic_flow_deviation_exclusions
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 00:00:00,2020-09-21 01:00:00,0.0,0.0,60.0,3.0,0,0,3.0,145.11,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 00:00:00,2020-09-21 01:00:00,0.0,0.0,60.0,47.0,0,0,103.0,115.79,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 00:00:00,2020-09-21 01:00:00,0.0,0.0,60.0,60.0,0,0,325.0,101.72,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 01:00:00,2020-09-21 02:00:00,0.0,0.0,60.0,0.0,0,0,0.0,-1.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 01:00:00,2020-09-21 02:00:00,0.0,0.0,60.0,28.0,0,0,38.0,116.27,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 01:00:00,2020-09-21 02:00:00,0.0,0.0,60.0,60.0,0,0,213.0,103.2,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 02:00:00,2020-09-21 03:00:00,0.0,0.0,60.0,0.0,0,0,0.0,-1.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 02:00:00,2020-09-21 03:00:00,0.0,0.0,60.0,20.0,0,0,26.0,118.84,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 02:00:00,2020-09-21 03:00:00,0.0,0.0,60.0,51.0,0,0,129.0,101.86,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 03:00:00,2020-09-21 04:00:00,0.0,0.0,60.0,1.0,0,0,1.0,101.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 03:00:00,2020-09-21 04:00:00,0.0,0.0,60.0,13.0,0,0,17.0,104.74,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 03:00:00,2020-09-21 04:00:00,0.0,0.0,60.0,52.0,0,0,124.0,98.2,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 04:00:00,2020-09-21 05:00:00,0.0,0.0,60.0,2.0,0,0,2.0,120.48,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 04:00:00,2020-09-21 05:00:00,0.0,0.0,60.0,26.0,0,0,38.0,108.93,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 04:00:00,2020-09-21 05:00:00,0.0,0.0,60.0,58.0,0,0,193.0,98.7,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 05:00:00,2020-09-21 06:00:00,0.0,0.0,60.0,30.0,0,0,70.0,121.48,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 05:00:00,2020-09-21 06:00:00,0.0,0.0,60.0,57.0,0,0,401.0,110.48,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 05:00:00,2020-09-21 06:00:00,0.0,0.0,60.0,60.0,0,0,583.0,97.11,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 06:00:00,2020-09-21 07:00:00,0.0,0.0,60.0,59.0,0,0,566.0,117.64,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 06:00:00,2020-09-21 07:00:00,0.0,0.0,60.0,60.0,0,0,1410.0,105.44,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 06:00:00,2020-09-21 07:00:00,0.0,0.0,60.0,60.0,0,0,1092.0,92.25,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 07:00:00,2020-09-21 08:00:00,0.0,0.0,60.0,60.0,0,0,739.0,114.51,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 07:00:00,2020-09-21 08:00:00,0.0,0.0,60.0,60.0,0,0,1739.0,102.39,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 07:00:00,2020-09-21 08:00:00,0.0,0.0,60.0,60.0,0,0,1259.0,90.84,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 08:00:00,2020-09-21 09:00:00,0.0,0.0,60.0,60.0,0,0,984.0,111.69,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 08:00:00,2020-09-21 09:00:00,0.0,0.0,60.0,60.0,0,0,2020.0,101.3,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 08:00:00,2020-09-21 09:00:00,0.0,0.0,60.0,60.0,0,0,1454.0,90.41,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 09:00:00,2020-09-21 10:00:00,0.0,0.0,60.0,60.0,0,0,460.0,114.41,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 09:00:00,2020-09-21 10:00:00,0.0,0.0,60.0,60.0,0,0,1510.0,102.67,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 09:00:00,2020-09-21 10:00:00,0.0,0.0,60.0,60.0,0,0,1320.0,91.52,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 10:00:00,2020-09-21 11:00:00,0.0,0.0,60.0,59.0,0,0,322.0,115.21,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 10:00:00,2020-09-21 11:00:00,0.0,0.0,60.0,60.0,0,0,1376.0,102.95,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 10:00:00,2020-09-21 11:00:00,0.0,0.0,60.0,60.0,0,0,1336.0,91.65,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 11:00:00,2020-09-21 12:00:00,0.0,0.0,60.0,60.0,0,0,359.0,113.49,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 11:00:00,2020-09-21 12:00:00,0.0,0.0,60.0,60.0,0,0,1425.0,102.8,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 11:00:00,2020-09-21 12:00:00,0.0,0.0,60.0,60.0,0,0,1439.0,91.31,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 12:00:00,2020-09-21 13:00:00,0.0,0.0,60.0,59.0,0,0,416.0,113.02,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 12:00:00,2020-09-21 13:00:00,0.0,0.0,60.0,60.0,0,0,1547.0,102.0,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 12:00:00,2020-09-21 13:00:00,0.0,0.0,60.0,60.0,0,0,1490.0,90.9,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 13:00:00,2020-09-21 14:00:00,0.0,0.0,50.0,50.0,0,0,577.0,114.18,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 13:00:00,2020-09-21 14:00:00,0.0,0.0,50.0,50.0,0,0,1648.0,102.47,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 13:00:00,2020-09-21 14:00:00,0.0,0.0,50.0,50.0,0,0,1561.0,91.91,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 14:00:00,2020-09-21 15:00:00,0.0,0.0,58.0,58.0,0,0,599.0,113.41,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 14:00:00,2020-09-21 15:00:00,0.0,0.0,58.0,58.0,0,0,1667.0,102.89,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 14:00:00,2020-09-21 15:00:00,0.0,0.0,58.0,58.0,0,0,1563.0,92.21,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 15:00:00,2020-09-21 16:00:00,0.0,0.0,60.0,60.0,0,0,899.0,114.27,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 15:00:00,2020-09-21 16:00:00,0.0,0.0,60.0,60.0,0,0,1990.0,102.48,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 15:00:00,2020-09-21 16:00:00,0.0,0.0,60.0,60.0,0,0,1740.0,92.02,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 16:00:00,2020-09-21 17:00:00,0.0,0.0,60.0,60.0,0,0,1011.0,113.3,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 16:00:00,2020-09-21 17:00:00,0.0,0.0,60.0,60.0,0,0,2085.0,102.09,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 16:00:00,2020-09-21 17:00:00,0.0,0.0,60.0,60.0,0,0,1810.0,91.78,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 17:00:00,2020-09-21 18:00:00,0.0,0.0,60.0,60.0,0,0,892.0,115.05,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 17:00:00,2020-09-21 18:00:00,0.0,0.0,60.0,60.0,0,0,1995.0,103.2,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 17:00:00,2020-09-21 18:00:00,0.0,0.0,60.0,60.0,0,0,1835.0,93.39,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 18:00:00,2020-09-21 19:00:00,0.0,0.0,60.0,58.0,0,0,465.0,116.54,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 18:00:00,2020-09-21 19:00:00,0.0,0.0,60.0,60.0,0,0,1399.0,105.79,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 18:00:00,2020-09-21 19:00:00,0.0,0.0,60.0,60.0,0,0,1479.0,95.95,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 19:00:00,2020-09-21 20:00:00,0.0,0.0,60.0,56.0,0,0,231.0,120.61,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 19:00:00,2020-09-21 20:00:00,0.0,0.0,60.0,60.0,0,0,900.0,107.82,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 19:00:00,2020-09-21 20:00:00,0.0,0.0,60.0,60.0,0,0,1139.0,97.38,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 20:00:00,2020-09-21 21:00:00,0.0,0.0,59.0,50.0,0,0,156.0,120.93,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 20:00:00,2020-09-21 21:00:00,0.0,0.0,59.0,59.0,0,0,739.0,108.42,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 20:00:00,2020-09-21 21:00:00,0.0,0.0,59.0,59.0,0,0,977.0,97.57,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 21:00:00,2020-09-21 22:00:00,0.0,0.0,60.0,36.0,0,0,59.0,120.99,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 21:00:00,2020-09-21 22:00:00,0.0,0.0,60.0,60.0,0,0,505.0,110.69,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 21:00:00,2020-09-21 22:00:00,0.0,0.0,60.0,60.0,0,0,872.0,98.24,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 22:00:00,2020-09-21 23:00:00,0.0,0.0,60.0,33.0,0,0,55.0,124.25,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 22:00:00,2020-09-21 23:00:00,0.0,0.0,60.0,58.0,0,0,399.0,111.7,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 22:00:00,2020-09-21 23:00:00,0.0,0.0,60.0,60.0,0,0,759.0,99.35,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-21 23:00:00,2020-09-22 00:00:00,0.0,0.0,60.0,12.0,0,0,15.0,122.83,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-21 23:00:00,2020-09-22 00:00:00,0.0,0.0,60.0,55.0,0,0,190.0,111.0,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-21 23:00:00,2020-09-22 00:00:00,0.0,0.0,60.0,60.0,0,0,504.0,101.33,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 00:00:00,2020-09-22 01:00:00,0.0,0.0,60.0,8.0,0,0,11.0,131.88,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 00:00:00,2020-09-22 01:00:00,0.0,0.0,60.0,49.0,0,0,102.0,113.49,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 00:00:00,2020-09-22 01:00:00,0.0,0.0,60.0,60.0,0,0,334.0,100.48,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 01:00:00,2020-09-22 02:00:00,0.0,0.0,59.0,1.0,0,0,1.0,129.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 01:00:00,2020-09-22 02:00:00,0.0,0.0,59.0,32.0,0,0,46.0,119.14,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 01:00:00,2020-09-22 02:00:00,0.0,0.0,59.0,57.0,0,0,194.0,101.89,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 02:00:00,2020-09-22 03:00:00,0.0,0.0,60.0,1.0,0,0,1.0,126.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 02:00:00,2020-09-22 03:00:00,0.0,0.0,60.0,18.0,0,0,22.0,112.36,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 02:00:00,2020-09-22 03:00:00,0.0,0.0,60.0,55.0,0,0,122.0,95.55,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 03:00:00,2020-09-22 04:00:00,0.0,0.0,60.0,1.0,0,0,1.0,127.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 03:00:00,2020-09-22 04:00:00,0.0,0.0,60.0,21.0,0,0,26.0,116.7,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 03:00:00,2020-09-22 04:00:00,0.0,0.0,60.0,53.0,0,0,127.0,97.59,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 04:00:00,2020-09-22 05:00:00,0.0,0.0,59.0,2.0,0,0,2.0,108.99,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 04:00:00,2020-09-22 05:00:00,0.0,0.0,59.0,29.0,0,0,49.0,108.41,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 04:00:00,2020-09-22 05:00:00,0.0,0.0,59.0,58.0,0,0,190.0,98.09,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 05:00:00,2020-09-22 06:00:00,0.0,0.0,60.0,31.0,0,0,55.0,124.82,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 05:00:00,2020-09-22 06:00:00,0.0,0.0,60.0,58.0,0,0,377.0,112.87,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 05:00:00,2020-09-22 06:00:00,0.0,0.0,60.0,60.0,0,0,566.0,96.78,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 06:00:00,2020-09-22 07:00:00,0.0,0.0,60.0,60.0,0,0,573.0,117.1,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 06:00:00,2020-09-22 07:00:00,0.0,0.0,60.0,60.0,0,0,1385.0,105.06,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 06:00:00,2020-09-22 07:00:00,0.0,0.0,60.0,60.0,0,0,1103.0,92.24,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 07:00:00,2020-09-22 08:00:00,0.0,0.0,60.0,60.0,0,0,756.0,114.25,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 07:00:00,2020-09-22 08:00:00,0.0,0.0,60.0,60.0,0,0,1745.0,102.71,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 07:00:00,2020-09-22 08:00:00,0.0,0.0,60.0,60.0,0,0,1294.0,91.28,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 08:00:00,2020-09-22 09:00:00,0.0,0.0,60.0,60.0,0,0,853.0,112.01,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 08:00:00,2020-09-22 09:00:00,0.0,0.0,60.0,60.0,0,0,1974.0,101.67,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 08:00:00,2020-09-22 09:00:00,0.0,0.0,60.0,60.0,0,0,1530.0,91.15,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 09:00:00,2020-09-22 10:00:00,0.0,0.0,59.0,59.0,0,0,438.0,114.78,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 09:00:00,2020-09-22 10:00:00,0.0,0.0,59.0,59.0,0,0,1467.0,103.45,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 09:00:00,2020-09-22 10:00:00,0.0,0.0,59.0,59.0,0,0,1348.0,91.75,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 10:00:00,2020-09-22 11:00:00,0.0,0.0,60.0,60.0,0,0,313.0,114.41,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 10:00:00,2020-09-22 11:00:00,0.0,0.0,60.0,60.0,0,0,1230.0,102.46,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 10:00:00,2020-09-22 11:00:00,0.0,0.0,60.0,60.0,0,0,1337.0,91.98,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 11:00:00,2020-09-22 12:00:00,0.0,0.0,59.0,58.0,0,0,337.0,113.81,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 11:00:00,2020-09-22 12:00:00,0.0,0.0,59.0,59.0,0,0,1369.0,102.75,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 11:00:00,2020-09-22 12:00:00,0.0,0.0,59.0,59.0,0,0,1336.0,91.18,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 12:00:00,2020-09-22 13:00:00,0.0,0.0,59.0,58.0,0,0,429.0,113.7,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 12:00:00,2020-09-22 13:00:00,0.0,0.0,59.0,59.0,0,0,1479.0,102.39,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 12:00:00,2020-09-22 13:00:00,0.0,0.0,59.0,59.0,0,0,1456.0,90.86,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 13:00:00,2020-09-22 14:00:00,0.0,0.0,60.0,60.0,0,0,451.0,114.38,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 13:00:00,2020-09-22 14:00:00,0.0,0.0,60.0,60.0,0,0,1562.0,102.72,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 13:00:00,2020-09-22 14:00:00,0.0,0.0,60.0,60.0,0,0,1470.0,91.41,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 14:00:00,2020-09-22 15:00:00,0.0,0.0,59.0,59.0,0,0,509.0,114.25,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 14:00:00,2020-09-22 15:00:00,0.0,0.0,59.0,59.0,0,0,1593.0,102.68,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 14:00:00,2020-09-22 15:00:00,0.0,0.0,59.0,59.0,0,0,1531.0,91.87,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 15:00:00,2020-09-22 16:00:00,0.0,0.0,60.0,60.0,0,0,1042.0,112.31,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 15:00:00,2020-09-22 16:00:00,0.0,0.0,60.0,60.0,0,0,2162.0,100.82,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 15:00:00,2020-09-22 16:00:00,0.0,0.0,60.0,60.0,0,0,1761.0,90.23,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 16:00:00,2020-09-22 17:00:00,0.0,0.0,60.0,60.0,0,0,998.0,111.28,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 16:00:00,2020-09-22 17:00:00,0.0,0.0,60.0,60.0,0,0,2068.0,99.81,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 16:00:00,2020-09-22 17:00:00,0.0,0.0,60.0,60.0,0,0,1792.0,89.55,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 17:00:00,2020-09-22 18:00:00,0.0,0.0,60.0,60.0,0,0,1040.0,112.58,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 17:00:00,2020-09-22 18:00:00,0.0,0.0,60.0,60.0,0,0,2074.0,102.03,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 17:00:00,2020-09-22 18:00:00,0.0,0.0,60.0,60.0,0,0,1882.0,92.18,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 18:00:00,2020-09-22 19:00:00,0.0,0.0,60.0,60.0,0,0,505.0,118.78,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2020-09-22 18:00:00,2020-09-22 19:00:00,0.0,0.0,60.0,60.0,0,0,1540.0,105.65,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2020-09-22 18:00:00,2020-09-22 19:00:00,0.0,0.0,60.0,60.0,0,0,1503.0,95.48,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2020-09-22 19:00:00,2020-09-22 20:00:00,0.0,0.0,60.0,59.0,0,0,223.0,120.61,-1.0,lane1,anyVehicle,,
