id_meetlocatie,ndw_index,start_meetperiode,eind_meetperiode,waarnemingen_intensiteit,waarnemingen_snelheid,gebruikte_minuten_intensiteit,gebruikte_minuten_snelheid,data_error_snelheid,data_error_intensiteit,gem_intensiteit,gem_snelheid,gewogen_gem_snelheid,rijstrook_rijbaan,voertuigcategorie,technical_exclusion,traffic_flow_deviation_exclusions
RWS01_MONIBAS_0101hrl0033ra,F1A,2019-09-16 00:00:00,2019-09-16 01:00:00,0.0,0.0,60.0,6.0,0,0,7.0,130.36,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2019-09-16 00:00:00,2019-09-16 01:00:00,0.0,0.0,60.0,52.0,0,0,118.0,112.87,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2019-09-16 00:00:00,2019-09-16 01:00:00,0.0,0.0,60.0,60.0,0,0,334.0,99.71,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2019-09-16 01:00:00,2019-09-16 02:00:00,0.0,0.0,60.0,4.0,0,0,4.0,129.32,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2019-09-16 01:00:00,2019-09-16 02:00:00,0.0,0.0,60.0,32.0,0,0,61.0,111.94,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2019-09-16 01:00:00,2019-09-16 02:00:00,0.0,0.0,60.0,57.0,0,0,192.0,98.35,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2019-09-16 02:00:00,2019-09-16 03:00:00,0.0,0.0,60.0,0.0,0,0,0.0,-1.0,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2019-09-16 02:00:00,2019-09-16 03:00:00,0.0,0.0,60.0,22.0,0,0,27.0,108.11,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2019-09-16 02:00:00,2019-09-16 03:00:00,0.0,0.0,60.0,54.0,0,0,137.0,97.72,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2019-09-16 03:00:00,2019-09-16 04:00:00,0.0,0.0,60.0,3.0,0,0,3.0,115.27,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2019-09-16 03:00:00,2019-09-16 04:00:00,0.0,0.0,60.0,30.0,0,0,36.0,108.67,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2019-09-16 03:00:00,2019-09-16 04:00:00,0.0,0.0,60.0,56.0,0,0,130.0,94.38,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2019-09-16 04:00:00,2019-09-16 05:00:00,0.0,0.0,60.0,7.0,0,0,7.0,120.18,-1.0,lane1,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F3A,2019-09-16 04:00:00,2019-09-16 05:00:00,0.0,0.0,60.0,43.0,0,0,76.0,104.68,-1.0,lane2,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F5A,2019-09-16 04:00:00,2019-09-16 05:00:00,0.0,0.0,60.0,59.0,0,0,215.0,94.19,-1.0,lane3,anyVehicle,,
RWS01_MONIBAS_0101hrl0033ra,F1A,2019-09-16 05:00:00,2019-09-16 06:00:00,0.0,0.0,60.0,38.0,0,0,84.0,119.2,-1.0,lane1,anyVehicle,,
